FIPS,State,County,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,PCT_NHNA10,PCT_NHPI10,PCT_65OLDER10,PCT_18YOUNGER10,MEDHHINC15,POVRATE15,PERPOV10,CHILDPOVRATE15,PERCHLDPOV10,METRO13,POPLOSS10
01001,AL,Autauga,77.2461563834271,17.5825988162211,2.40054241263675,0.855765882978138,0.397647101940591,0.0403144527313042,11.9953821626871,26.7779589892067,56580,12.7,0,18.8,0,1,0
01003,AL,Baldwin,83.504786985982,9.30842454667654,4.38482429429677,0.735193262557266,0.628754834993005,0.0433434833895701,16.7711848133213,22.9874084437495,52387,12.9,0,19.6,0,1,0
01005,AL,Barbour,46.753104854864,46.6911898605092,5.05153512765415,0.389700258586153,0.218523509487562,0.0874094037950249,14.2368066431147,21.9069818261281,31433,32,1,45.2,1,0,0
01007,AL,Bibb,75.0207287802749,21.9245036002618,1.77176521928868,0.0960069823259874,0.279293039493781,0.0305476761946323,12.6816495745145,22.6969234126118,40767,22.2,0,29.3,1,1,0
01009,AL,Blount,88.8873381947594,1.26304036844493,8.07019992324064,0.200621052998849,0.497191305258016,0.0314015561215589,14.7220962283242,24.6083528139283,50487,14.7,0,22.2,0,1,0
01011,AL,Bullock,21.9168041048195,69.9743448781382,7.1192963166575,0.183250870441635,0.183250870441635,0.0366501740883269,13.4597764339381,22.2649807586586,28251,39.6,1,51.2,1,0,0
01013,AL,Butler,54.0602472907815,43.1899556022342,0.911825082350695,0.830667876068172,0.281663245333461,0.0334176731751563,16.6563231011601,24.1371079390844,33868,25.8,1,36,1,0,1
01015,AL,Calhoun,73.6135006578282,20.3901426981075,3.28323718921837,0.699996626522282,0.404817326181561,0.0792767263772223,14.3288466079682,22.8772391458354,42091,20,0,30.7,0,1,0
01017,AL,Chambers,58.1411661551951,38.5971065322227,1.56656437235131,0.48516732427298,0.166593599298553,0.0204588630717522,16.6768960982025,22.513517463101,35560,22.4,0,34.4,1,0,1
01019,AL,Cherokee,92.073569587133,4.64042479510562,1.23129016122206,0.188541305937127,0.469429373965909,0.00384778175381892,17.8960329370118,21.4167532417561,39144,19.4,0,30.2,0,0,0
