StateFIPS,State,WIC participants FY 2009,WIC participants FY 2011,"WIC participants, FY 2012","WIC participants, FY 2013","WIC participants, FY 2014","WIC participants, FY 2015",National School Lunch Program participants FY 2009,National School Lunch Program participants FY 2011,"National School Lunch Program participants, FY 2012","National School Lunch Program participants, FY 2013","National School Lunch Program participants, FY 2014","National School Lunch Program participants, FY 2015",School Breakfast Program participants FY 2009,School Breakfast Program participants FY 2011,"School Breakfast Program participants, FY 2012","School Breakfast Program participants, FY 2013","School Breakfast Program participants, FY 2014","School Breakfast Program participants, FY 2015",Child and Adult Care particpants FY 2009,Child and Adult Care particpants FY 2011,"Child and Adult Care participants, FY 2012","Child and Adult Care participants, FY 2013","Child and Adult Care participants, FY 2014","Child and Adult Care participants, FY 2015",Summer Food particpants FY 2009,Summer Food participants FY 2011,"Summer Food participants, FY 2012","Summer Food participants, FY 2013","Summer Food participants, FY 2014","Summer Food participants, FY 2015","State Population, 2009","State Population, 2010","State Population,  2011","State Population, 2012","State Population,  2013","State Population,  2014","State Population,  2015","State Population,  2016"
01,Alabama,"140,810","143,768","141,900","139,001","131,046","132,133","579,880","571,291","562,959","539,664","531,099","531,306","212,316","216,714","224,490","224,173","236,580","254,270","43,136","42,774","42,904","41,863","45,039","51,291","26,599","24,724","26,077","30,308","42,484","49,907","4,708,708","4,785,401","4,802,740","4,817,528","4,833,722","4,849,377","4,858,979","4,863,300"
02,Alaska,"25,816","26,295","24,969","23,055","19,605","19,682","53,554","54,410","53,920","52,495","51,003","53,617","16,943","19,974","20,759","20,741","21,045","25,111","9,874","9,616","10,541","10,963","11,430","10,787","2,345","6,564","4,661","5,078","6,670","5,850","698,473","714,146","722,718","730,307","735,132","736,732","738,432","741,894"
04,Arizona,"208,873","199,343","193,214","182,501","173,020","167,072","655,498","661,437","662,440","646,767","644,173","647,391","231,674","261,119","274,596","289,520","300,355","308,723","45,772","42,161","41,671","42,945","40,344","42,557","12,403","23,732","27,554","23,688","23,209","16,007","6,595,778","6,413,158","6,482,505","6,551,149","6,626,624","6,731,484","6,828,065","6,931,071"
05,Arkansas,"94,107","93,461","94,293","89,777","83,289","84,220","351,950","352,818","348,909","332,497","327,469","320,995","155,258","158,053","162,018","166,376","172,605","180,503","43,974","51,644","55,787","67,630","76,841","67,985","17,494","21,841","26,217","41,946","45,837","31,081","2,889,450","2,921,588","2,937,979","2,949,828","2,959,373","2,966,369","2,978,204","2,988,248"
06,California,"1,439,006","1,466,564","1,472,468","1,431,881","1,348,939","1,265,005","3,175,063","3,282,277","3,355,494","3,294,580","3,280,666","3,271,857","1,172,714","1,288,655","1,406,620","1,517,341","1,645,954","1,691,546","327,838","327,270","362,931","451,422","512,187","563,089","95,080","115,628","104,384","114,689","115,937","128,051","36,961,664","37,338,198","37,691,912","37,999,878","38,332,521","38,802,500","39,144,818","39,250,017"
08,Colorado,"107,930","104,129","103,769","96,874","91,991","90,954","390,868","399,393","389,955","375,033","372,675","378,229","107,139","126,776","142,956","155,733","168,992","185,014","34,480","33,486","32,550","32,507","31,817","43,320","12,804","15,569","16,646","17,933","19,076","20,180","5,024,748","5,047,692","5,116,796","5,189,458","5,268,367","5,355,866","5,456,574","5,540,545"
09,Connecticut,"60,148","56,083","56,584","54,248","52,561","51,295","302,997","301,545","296,699","280,253","281,934","280,152","68,912","81,660","86,529","87,971","93,236","95,009","18,678","19,656","20,326","20,780","20,480","21,873","12,285","10,834","10,185","12,171","17,274","28,276","3,518,288","3,575,498","3,580,709","3,591,765","3,596,080","3,596,677","3,590,886","3,576,452"
10,Delaware,"24,028","22,553","22,214","20,797","19,873","18,998","90,073","94,722","96,040","94,571","94,943","97,978","33,202","36,699","38,624","39,522","41,137","47,974","15,773","18,991","18,367","19,016","18,886","19,987","10,727","9,129","14,366","8,190","9,935","10,298","885,122","899,792","907,135","917,053","925,749","935,614","945,934","952,065"
11,District of Columbia,"17,473","16,537","16,474","15,674","14,501","14,526","44,579","46,699","47,735","50,569","50,809","52,668","20,431","29,830","33,281","34,873","34,874","34,499","5,975","5,189","7,828","4,990","5,765","5,581","35,298","36,690","36,158","34,778","39,449","28,713","599,657","604,912","617,996","633,427","646,449","658,893","672,228","681,170"
12,Florida,"505,671","492,071","495,405","483,565","466,736","483,811","1,560,392","1,648,779","1,653,680","1,638,775","1,652,118","1,675,731","610,818","684,279","711,285","750,969","773,080","786,519","180,614","203,266","210,497","223,791","248,434","269,550","127,826","129,450","137,796","145,389","155,570","163,445","18,537,969","18,838,613","19,057,542","19,320,749","19,552,860","19,893,297","20,271,272","20,612,439"
13,Georgia,"499,213","469,456","303,875","289,524","271,416","264,299","1,290,996","1,301,069","1,287,033","1,245,368","1,236,304","1,236,154","564,627","600,642","620,655","608,138","626,650","626,930","140,053","138,076","135,286","138,070","141,104","141,717","68,454","75,836","84,854","71,557","98,044","101,239","9,829,211","9,712,157","9,815,210","9,915,646","9,992,167","10,097,343","10,214,860","10,310,371"
15,Hawaii,"36,320","36,753","37,169","36,370","33,923","31,616","103,807","115,694","113,618","113,609","113,981","109,591","35,946","35,847","38,943","38,466","37,597","37,814","9,460","9,757","10,069","10,123","10,739","11,391","5,836","3,169","5,134","5,324","6,010","5,860","1,295,178","1,363,359","1,374,810","1,390,090","1,404,054","1,419,561","1,431,603","1,428,557"
16,Idaho,"46,175","44,020","43,751","43,292","41,423","40,506","170,003","170,852","170,127","160,189","158,274","156,992","70,830","74,902","77,706","75,368","76,040","77,465","9,677","8,879","8,546","10,694","11,343","11,672","22,625","21,744","21,114","20,959","26,932","19,775","1,545,801","1,571,102","1,584,985","1,595,590","1,612,136","1,634,464","1,654,930","1,683,140"
